,BS - Year 1,,,,,,,,,,,,BS - Year 2,,,,,,BS - Year 3,,,,,,BS - Year 4,,,,MS - Year 1,,,,,MS - Year 2,
,B19-01,,B19-02,,B19-03,,B19-04,,B19-05,,B19-06,,B18-01,B18-02,B18-03,B18-04,B18-05,B18-06,B17-DS-01,B17-DS-02,B17-SE-01,B17-SE-02,B17-SB-01,B17-RO-01,B16-SE-01,B16-RO-01,B16-DS-01,B16-DS-02,M19-SE-01,M19-SE-02,M19-DS-01,M19-DS-02,M19-RO-01,M18-RO-01,
,,,,,,,,,,,,,,,,,,,Rustam Gafarov  / Albina Khusainova  / Mansur Khazeev / Oleg Bulichev / Kirill Saltanov,,,,,,Farida Nezhmetdinova,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,105,,,,,,106,,,,,,,,,,"105, 106"
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,Philosophy,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Farida Nezhmetdinova,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,106
FRIDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,Mathematical Analysis 2 (Lec),,,,,,,,,,,,,,,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,Architectures of software systems (31.01; 07.02; 28.02; 10.04),,,,,,
,Sergey Gorodetskiy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamad Kassab,,,,,,
,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,,,,"108, 313"
10:35-12:05,Mathematical Analysis 2 (tutorial),,,,,,,,,,,,Software Project (Lec),,,,,,,,,,,,,,,,Architectures of software systems (31.01; 07.02; 28.02; 10.04),,,,,,
,Sergey Gorodetskiy,,,,,,,,,,,,Evgenii Bobrov,,,,,,,,,,,,,,,,Mohamad Kassab,,,,,,
,108,,,,,,,,,,,,106,,,,,,,,,,,,,,,,313,,,,,,"108, 106, 313"
12:10-13:40,Mathematical Analysis 2 (Lab),,,,Mathematical Analysis 2 (Lab),,,,Mathematical Analysis 2 (Lab),,,,Software Project (Lab.),,,,,,,,,,,,,,,,,,,,,,
,Alexey Shikulin,,,,Ramil Dautov,,,,Evgeniy Gryaznov,,,,Ivan Dmitriev,,,,,,,,,,,,,,,,,,,,,,
,101,,,,318,,,,316,,,,320,,,,,,,,,,,,,,,,,,,,,,"101, 318, 316, 320"
14:10-15:40,,,Mathematical Analysis 2 (Lab),,,,Mathematical Analysis 2 (Lab),,,,Mathematical Analysis 2 (Lab),,,Software Project (Lab.),Software Project (Lab.),Software Project (Lab.),,,,,,,,,,,,,Models of software systems (Tutorial),,,,,,
,,,Alexey Shikulin,,,,Ramil Dautov,,,,Evgeniy Gryaznov,,,Artem Kruglov,Pavel Kolychev,Ivan Dmitriev,,,,,,,,,,,,,Alexander Naumchev,,,,,,
,,,101,,,,318,,,,316,,,303,317,320,,,,,,,,,,,,,313,,,,,,"101, 318, 316, 303, 317, 320, 313"
15:45-17:15,,,,,,,,,,,,,,,,,Software Project (Lab.),Software Project (Lab.),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Artem Kruglov,Pavel Kolychev,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,303,317,,,,,,,,,,,,,,,,,"303, 317"
17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SATURDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00-10:30,,,,,,,,,,,,,,,,,,,Reserve for elective courses,,,,,,Reserve for elective courses,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:35-12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:10-13:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:10-15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:45-17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
