F,Weekday,Booked aud by core courses,Time,Natural Language Processing and Machine Learning,Computer Graphics in Game Development,Advanced agile software design,Modern Application Production,Design Patterns,Economics of Entrepreneurship in IT Industry,Enterprise programming on Javascript - Advanced,Total Virtualization,Product's highly loaded architecture,DevOps,Human Computer Interaction Design for AI,Technical Writing and Communication,Introduction to  Public Speaking for IT-specialist,Advanced Topics in Software Testing,Critical Thinking for IT-specialist,Reading Skills  for IT-specialist,Introduction to IT Entrepreneurship,Programming Windows Services with C++,Advanced Academic Research- Writing and Performance,Volunteer and Crowd-based Approaches in Computing,Design Fiction,Tech Startup Design,Business-track,Personal Efficiency Skills of IT-specialist,Programming in Haskell,Consensus theory and concurrent programming on a shared memory,Functional Programming and Scala Language,Practical Artificial Intelligence,Introduction to Career Development for IT-specialist,Mobile development using QT,Psychology of IT-specialist,Russian as a foreign language,Software Requirements and Specifications,,,,,,
,,,17:20-18:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russian as a foreign language (Beginners)
Svetlana Sokolova
320",,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2020 ,Friday,,09:00-10:30,,,,,,,,,,,,,,,,,,,,,,,"Business-track
Hannes Hofstadler
102",,,,,"Practical Artificial Intelligence
Stanislav Protasov
101",,,,,,,,,,,
,,,10:35-12:05,,,,,,,,,,,,,,"Advanced topics in Software Testing
Mohamad Kassab
301",,,,"Programming Windows Services with C++
Alexey Kostyushko
317",,,"Design Fiction
Olga Ignatieva
303",,"Business-track
Hannes Hofstadler
102",,,,,"Practical Artificial Intelligence
Stanislav Protasov
101",,,,,,,,,,,
,,,12:10-13:40,,,,,,,,"Total Virtualization
Anna Melekhova
307",,,,,,"Advanced topics in Software Testing
Mohamad Kassab
301",,,,"Programming Windows Services with C++
Alexey Kostyushko
317",,,"Design Fiction
Olga Ignatieva
303",,,,,,,,,,,,,,,,,,
,,,14:10-15:40,,,,,,,,"Total Virtualization
Anna Melekhova
307","Product's highly loaded architecture
Konstantin Arkhipov
102",,,,,"Advanced topics in Software Testing
Mohamad Kassab
301",,,,,"Advanced Academic Research- Writing and Performance
Alexey Kosyushko
317",,,,,,,,,,,"Mobile development with QT
Sveta Burikova
104",,,,,,,,,
,,,15:45-17:15,,,,,,,,"Total Virtualization
Anna Melekhova
307","Product's highly loaded architecture
Konstantin Arkhipov
102",,,,,"Advanced topics in Software Testing
Mohamad Kassab
301",,,,,"Advanced Academic Research- Writing and Performance
Alexey Kosyushko
317",,,,,,,,,,,"Mobile development with QT
Sveta Burikova
104",,,,,,,,,
,,,17:20-18:50,,,,,,,,"Total Virtualization
Anna Melekhova
307",,,,,,,,,,,,,,,,,,,,,,,,"Russian as a foreign language (Advanced)
Svetlana Sokolova
320",,,,,,,
,,,18:55-20:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020 ,Saturday,,09:00-10:30,,,,,,,"Enterprise programming on Javascript - Advanced
Andrey Vlasov
303","Total Virtualization
Anna Melekhova
312",,,,,,,,,,,,,,"Tech Startup Design
Tatiana Bobrus
320",,,,,,,,,,,,,,,,,
